Input,Output,SUM
"[42, 120, 110, 44, 112]","[34, 104, 101, 43, 103]",1
"[42, 120, 120, 102, 42]","[33, 111, 104, 101, 34]",1
"[42, 122, 112, 100, 103]","[33, 111, 102, 43, 101]",6
"[42, 123, 110, 101, 103]","[33, 111, 102, 43, 101]",1
"[42, 212, 134, 112, 122]","[41, 201, 122, 110, 114]",1
"[43, 100, 102, 102, 42]","[33, 41, 43, 100, 34]",1
"[43, 101, 100, 103, 42]","[33, 41, 43, 100, 34]",1
"[43, 120, 110, 44, 111]","[40, 103, 103, 42, 102]",3
"[43, 122, 110, 100, 104]","[33, 111, 102, 43, 101]",4
"[43, 122, 112, 43, 104]","[41, 112, 103, 40, 100]",12
"[43, 130, 122, 102, 120]","[34, 120, 112, 44, 113]",1
"[43, 131, 120, 103, 120]","[34, 120, 112, 44, 113]",20
"[43, 133, 101, 112, 111]","[41, 114, 44, 103, 104]",1
"[43, 133, 103, 110, 44]","[40, 123, 102, 100, 40]",2
"[43, 133, 110, 102, 111]","[40, 120, 103, 43, 104]",4
"[43, 133, 111, 100, 112]","[40, 120, 104, 41, 110]",16
"[43, 133, 112, 103, 121]","[41, 121, 104, 43, 114]",1
"[44, 100, 100, 102, 43]","[33, 41, 43, 100, 34]",3
"[44, 104, 43, 100, 100]","[33, 100, 42, 43, 40]",1
"[44, 122, 103, 44, 100]","[40, 113, 100, 42, 40]",68
"[44, 124, 110, 41, 110]","[41, 112, 103, 40, 100]",1
"[44, 134, 113, 104, 113]","[42, 122, 112, 100, 103]",1
"[44, 134, 114, 102, 114]","[42, 122, 112, 100, 103]",1
"[44, 134, 121, 102, 112]","[42, 122, 112, 100, 103]",1
