Source,Target,Type,ID,Label,timeset,weight
"We have: 10 0's, 31 1's, 30 2's, 5 3's, 12 4's, 15 5's.","We have: 3 0's, 22 1's, 24 2's, 2 3's, 11 4's, 12 5's.",Directed,122,,,1
"We have: 10 0's, 32 1's, 15 2's, 23 3's, 13 4's, 13 5's.","We have: 4 0's, 23 1's, 12 2's, 14 3's, 12 4's, 11 5's.",Directed,123,,,4
"We have: 10 0's, 32 1's, 21 2's, 15 3's, 15 4's, 15 5's.","We have: 4 0's, 22 1's, 14 2's, 13 3's, 14 4's, 11 5's.",Directed,124,,,3
"We have: 10 0's, 32 1's, 22 2's, 21 3's, 13 4's, 12 5's.","We have: 4 0's, 23 1's, 12 2's, 14 3's, 12 4's, 11 5's.",Directed,125,,,1
"We have: 10 0's, 32 1's, 24 2's, 13 3's, 20 4's, 12 5's.","We have: 3 0's, 24 1's, 15 2's, 10 3's, 14 4's, 11 5's.",Directed,126,,,9
"We have: 10 0's, 32 1's, 31 2's, 10 3's, 12 4's, 13 5's.","We have: 3 0's, 22 1's, 24 2's, 2 3's, 11 4's, 12 5's.",Directed,127,,,10
"We have: 10 0's, 33 1's, 11 2's, 22 3's, 13 4's, 12 5's.","We have: 4 0's, 23 1's, 3 2's, 14 3's, 12 4's, 11 5's.",Directed,128,,,1
"We have: 10 0's, 33 1's, 13 2's, 23 3's, 13 4's, 12 5's.","We have: 4 0's, 24 1's, 10 2's, 13 3's, 12 4's, 11 5's.",Directed,129,,,4
"We have: 10 0's, 33 1's, 15 2's, 22 3's, 13 4's, 13 5's.","We have: 4 0's, 24 1's, 12 2's, 13 3's, 12 4's, 11 5's.",Directed,130,,,3
"We have: 10 0's, 33 1's, 35 2's, 24 3's, 23 4's, 15 5's.","We have: 4 0's, 30 1's, 32 2's, 15 3's, 21 4's, 12 5's.",Directed,131,,,2
"We have: 10 0's, 34 1's, 12 2's, 15 3's, 15 4's, 14 5's.","We have: 4 0's, 24 1's, 10 2's, 13 3's, 12 4's, 11 5's.",Directed,132,,,1
"We have: 10 0's, 34 1's, 13 2's, 23 3's, 13 4's, 13 5's.","We have: 4 0's, 25 1's, 11 2's, 13 3's, 11 4's, 12 5's.",Directed,133,,,7
"We have: 10 0's, 34 1's, 22 2's, 14 3's, 13 4's, 15 5's.","We have: 4 0's, 25 1's, 15 2's, 11 3's, 10 4's, 13 5's.",Directed,134,,,13
"We have: 10 0's, 34 1's, 25 2's, 23 3's, 13 4's, 15 5's.","We have: 4 0's, 30 1's, 22 2's, 15 3's, 11 4's, 12 5's.",Directed,135,,,1
"We have: 10 0's, 35 1's, 11 2's, 15 3's, 14 4's, 15 5's.","We have: 4 0's, 24 1's, 10 2's, 13 3's, 12 4's, 11 5's.",Directed,136,,,10
"We have: 10 0's, 35 1's, 13 2's, 21 3's, 13 4's, 14 5's.","We have: 4 0's, 25 1's, 11 2's, 13 3's, 11 4's, 12 5's.",Directed,137,,,6
"We have: 10 0's, 35 1's, 31 2's, 25 3's, 20 4's, 20 5's.","We have: 2 0's, 32 1's, 23 2's, 22 3's, 15 4's, 13 5's.",Directed,138,,,2
"We have: 10 0's, 35 1's, 33 2's, 22 3's, 15 4's, 21 5's.","We have: 4 0's, 31 1's, 25 2's, 14 3's, 14 4's, 14 5's.",Directed,139,,,4
"We have: 10 0's, 40 1's, 24 2's, 30 3's, 23 4's, 14 5's.","We have: 2 0's, 33 1's, 21 2's, 23 3's, 15 4's, 13 5's.",Directed,140,,,1
"We have: 10 0's, 41 1's, 32 2's, 21 3's, 23 4's, 13 5's.","We have: 4 0's, 32 1's, 24 2's, 13 3's, 21 4's, 12 5's.",Directed,141,,,3
"We have: 11 0's, 22 1's, 13 2's, 20 3's, 3 4's, 10 5's.","We have: 4 0's, 13 1's, 5 2's, 13 3's, 2 4's, 5 5's.",Directed,142,,,5
"We have: 11 0's, 24 1's, 12 2's, 14 3's, 13 4's, 4 5's.","We have: 10 0's, 14 1's, 5 2's, 12 3's, 5 4's, 3 5's.",Directed,143,,,2
"We have: 11 0's, 25 1's, 10 2's, 13 3's, 2 4's, 12 5's.","We have: 5 0's, 15 1's, 2 2's, 11 3's, 1 4, 10 5's.",Directed,144,,,3
"We have: 11 0's, 25 1's, 12 2's, 12 3's, 10 4's, 10 5's.","We have: 4 0's, 14 1's, 4 2's, 11 3's, 5 4's, 4 5's.",Directed,145,,,3
"We have: 11 0's, 25 1's, 20 2's, 12 3's, 10 4's, 15 5's.","We have: 4 0's, 15 1's, 12 2's, 11 3's, 5 4's, 12 5's.",Directed,146,,,16
"We have: 11 0's, 30 1's, 1 2, 14 3's, 3 4's, 11 5's.","We have: 5 0's, 15 1's, 11 3's, 1 4, 10 5's.",Directed,147,,,2
"We have: 11 0's, 30 1's, 10 2's, 14 3's, 5 4's, 11 5's.","We have: 4 0's, 15 1's, 5 2's, 12 3's, 3 4's, 5 5's.",Directed,148,,,1
"We have: 11 0's, 30 1's, 14 2's, 10 3's, 11 4's, 12 5's.","We have: 4 0's, 14 1's, 12 2's, 4 3's, 5 4's, 11 5's.",Directed,149,,,11
"We have: 11 0's, 30 1's, 14 2's, 12 3's, 12 4's, 14 5's.","We have: 5 0's, 15 1's, 11 2's, 10 3's, 5 4's, 13 5's.",Directed,150,,,1
"We have: 11 0's, 30 1's, 21 2's, 15 3's, 15 5's.","We have: 5 0's, 20 1's, 15 2's, 13 3's, 12 5's.",Directed,151,,,9
"We have: 11 0's, 30 1's, 22 2's, 15 3's, 1 4, 15 5's.","We have: 5 0's, 20 1's, 15 2's, 13 3's, 12 5's.",Directed,152,,,2
"We have: 11 0's, 31 1's, 20 2's, 20 3's, 10 4's, 11 5's.","We have: 3 0's, 20 1's, 13 2's, 14 3's, 5 4's, 10 5's.",Directed,153,,,13
"We have: 11 0's, 32 1's, 11 2's, 13 3's, 11 4's, 4 5's.","We have: 10 0's, 20 1's, 5 2's, 10 3's, 5 4's, 3 5's.",Directed,154,,,1
"We have: 11 0's, 32 1's, 12 2's, 12 3's, 11 4's, 11 5's.","We have: 10 0's, 15 1's, 4 2's, 10 3's, 10 4's, 10 5's.",Directed,155,,,1
"We have: 11 0's, 32 1's, 15 2's, 20 3's, 11 4's, 14 5's.","We have: 5 0's, 21 1's, 12 2's, 14 3's, 5 4's, 12 5's.",Directed,156,,,4
