Source,Target,Type,ID,Label,timeset,Weight
"We have: 1010100 0's, 1010110 1's.","We have: 1001100 0's, 1001110 1's.",Directed,149,,,1
"We have: 10101000 0's, 10111110 1's.","We have: 10100000 0's, 10110100 1's.",Directed,150,,,3
"We have: 10101000 0's, 11001110 1's.","We have: 10011111 0's, 11000101 1's.",Directed,151,,,1
"We have: 101010000 0's, 110010011 1's.","We have: 101000101 0's, 110001010 1's.",Directed,152,,,22
"We have: 101010001 0's, 110010010 1's.","We have: 101000110 0's, 110001001 1's.",Directed,153,,,4
"We have: 10101001 0's, 10111101 1's.","We have: 10100010 0's, 10110010 1's.",Directed,154,,,50
"We have: 10101001 0's, 11001101 1's.","We have: 10100001 0's, 11000011 1's.",Directed,155,,,3
"We have: 1010101 0's, 1010101 1's.","We have: 1001110 0's, 1001100 1's.",Directed,156,,,1
"We have: 1010101 0's, 1100100 1's.","We have: 1001101 0's, 1011100 1's.",Directed,157,,,3
"We have: 10101010 0's, 10111100 1's.","We have: 10100010 0's, 10110010 1's.",Directed,158,,,2
"We have: 10101010 0's, 11001100 1's.","We have: 10100001 0's, 11000011 1's.",Directed,159,,,140
"We have: 10101011 0's, 11001011 1's.","We have: 10100100 0's, 11000000 1's.",Directed,160,,,2
"We have: 101010111 0's, 110100000 1's.","We have: 101001101 0's, 110010110 1's.",Directed,161,,,18
"We have: 101011 0's, 100101 1's.","We have: 100101 0's, 11101 1's.",Directed,162,,,27
"We have: 101011 0's, 110010 1's.","We have: 100101 0's, 101010 1's.",Directed,163,,,356
"We have: 101011 0's, 111110 1's.","We have: 100111 0's, 110100 1's.",Directed,164,,,9
"We have: 1010110 0's, 1010100 1's.","We have: 1001110 0's, 1001100 1's.",Directed,165,,,3
"We have: 1010110 0's, 1100011 1's.","We have: 1001111 0's, 1011010 1's.",Directed,166,,,93
"We have: 10101100 0's, 10111010 1's.","We have: 10100100 0's, 10110000 1's.",Directed,167,,,1
"We have: 10101100 0's, 11001010 1's.","We have: 10100011 0's, 11000001 1's.",Directed,168,,,2
"We have: 101011000 0's, 110011111 1's.","We have: 101010000 0's, 110010011 1's.",Directed,169,,,21
"We have: 101011001 0's, 110001010 1's.","We have: 101001111 0's, 110000000 1's.",Directed,170,,,2
"We have: 101011001 0's, 110011110 1's.","We have: 101010001 0's, 110010010 1's.",Directed,171,,,3
"We have: 10101101 0's, 11011011 1's.","We have: 10100111 0's, 11001111 1's.",Directed,172,,,22
"We have: 1010111 0's, 1100010 1's.","We have: 1010000 0's, 1011001 1's.",Directed,173,,,18
"We have: 10101110 0's, 11011010 1's.","We have: 10100111 0's, 11001111 1's.",Directed,174,,,6
"We have: 10101111 0's, 11001001 1's.","We have: 10101000 0's, 10111110 1's.",Directed,175,,,2
"We have: 10101111 0's, 11011001 1's.","We have: 10101001 0's, 11001101 1's.",Directed,176,,,2
"We have: 101011110 0's, 110101101 1's.","We have: 101010111 0's, 110100000 1's.",Directed,177,,,9
"We have: 101011111 0's, 110101100 1's.","We have: 101011000 0's, 110011111 1's.",Directed,178,,,18
"We have: 1011 0's, 11001 1's.","We have: 111 0's, 10010 1's.",Directed,179,,,1
"We have: 10110 0's, 10010 1's.","We have: 10000 0's, 1100 1's.",Directed,180,,,2
"We have: 10110 0's, 11101 1's.","We have: 10010 0's, 10101 1's.",Directed,181,,,6
"We have: 101100 0's, 110001 1's.","We have: 100101 0's, 101010 1's.",Directed,182,,,2
"We have: 101100 0's, 111101 1's.","We have: 100111 0's, 110100 1's.",Directed,183,,,6
"We have: 1011000 0's, 1100001 1's.","We have: 1001111 0's, 1011010 1's.",Directed,184,,,215
"We have: 1011000 0's, 1101111 1's.","We have: 1010010 0's, 1100101 1's.",Directed,185,,,2
"We have: 101100001 0's, 110101010 1's.","We have: 101010111 0's, 110100000 1's.",Directed,186,,,8
"We have: 10110001 0's, 11000111 1's.","We have: 10101001 0's, 10111101 1's.",Directed,187,,,48
"We have: 10110001 0's, 11010111 1's.","We have: 10101010 0's, 11001100 1's.",Directed,188,,,138
"We have: 101100010 0's, 110101001 1's.","We have: 101011000 0's, 110011111 1's.",Directed,189,,,2
"We have: 101100011 0's, 110010100 1's.","We have: 101011001 0's, 110001010 1's.",Directed,190,,,1
"We have: 101100011 0's, 110101000 1's.","We have: 101011001 0's, 110011110 1's.",Directed,191,,,2
"We have: 1011001 0's, 1100000 1's.","We have: 1010000 0's, 1011001 1's.",Directed,192,,,3
"We have: 10110010 0's, 11000110 1's.","We have: 10101001 0's, 10111101 1's.",Directed,193,,,1
"We have: 10110010 0's, 11010110 1's.","We have: 10101010 0's, 11001100 1's.",Directed,194,,,1
"We have: 10110011 0's, 11010101 1's.","We have: 10101100 0's, 11001010 1's.",Directed,195,,,1
"We have: 10110011 0's, 11100111 1's.","We have: 10101101 0's, 11011011 1's.",Directed,196,,,21
"We have: 101100110 0's, 110111001 1's.","We have: 101011110 0's, 110101101 1's.",Directed,197,,,8
"We have: 101100111 0's, 110111000 1's.","We have: 101011111 0's, 110101100 1's.",Directed,198,,,17
"We have: 101101 0's, 110000 1's.","We have: 100110 0's, 101001 1's.",Directed,199,,,2
"We have: 101101 0's, 111100 1's.","We have: 101000 0's, 110011 1's.",Directed,200,,,1
"We have: 1011010 0's, 1101111 1's.","We have: 1010101 0's, 1100100 1's.",Directed,201,,,2
"We have: 10110100 0's, 11000100 1's.","We have: 10101010 0's, 10111100 1's.",Directed,202,,,1
"We have: 10110100 0's, 11010100 1's.","We have: 10101011 0's, 11001011 1's.",Directed,203,,,1
"We have: 101101001 0's, 110110110 1's.","We have: 101100001 0's, 110101010 1's.",Directed,204,,,7
"We have: 10110101 0's, 11100101 1's.","We have: 10101110 0's, 11011010 1's.",Directed,205,,,2
